Listing_ID,County,Property_Name_or_Address,Parcel_ID,Readiness_Score,Dataset_Status,Price,Acres,Acquisition_Type,Source_Name,Source_URL,Parcel_Boundary_Verified,Parcel_Boundary_Confidence,Verification_Level,Last_Checked_Date,Blocker,Human_Reviewed
GA-046,Floyd,Rome-Floyd County Land Bank Lot,I14W 120,99,eligible,"$2,000",0.15,Land Bank,Rome-Floyd Land Bank Authority,https://www.romefloyd.com,Yes,90,automated_gis_verified,2026-06-17,,Yes
GA-044,Fulton,Fulton County Repository Listing - Vacant Infill Lot,14 01150002014,97,eligible,"$3,500",0.12,Repository Property,Fulton County Tax Commissioner,https://fultoncountyga.gov/services/tax-commissioner/repository-sales,Yes,80,automated_gis_verified,2026-06-17,,Yes
GA-003,Fulton,"0 Crescendo Dr NW, Atlanta, GA 30318",14 020900020883,97,eligible,$500+,0.05-0.15,Land Bank,Metro Atlanta Land Bank (MALB),https://metroatlantalandbank.epropertyplus.com/landmgmtpub/app/base/landing,Yes,96,automated_gis_verified,2026-06-17,,yes
GA-007,DeKalb,"2718 Windrock Ct, DeKalb County, GA",15 009 01 033,92,eligible,"$1,500+",0.474,Sheriff Sale,DeKalb County Tax Commissioner,https://publicaccess.dekalbtax.org/forms/htmlframe.aspx?mode=content/search/tax_sale_listing.html,Yes,96,automated_gis_verified,2026-06-17,,yes
GA-012,Fulton,"0 Keels Ln, South Fulton, GA 30349",13 016000020296,93,near_ready,Varies (sealed bid),0.10-2.00,Municipal Surplus Sale,Fulton County Department of Real Estate and Asset Management,https://www.fultoncountyga.gov/Inside-Fulton-County/Fulton-County-Departments/Real-Estate-and-Asset-Management/Land-Division/Surplus-Real-Estate-for-Sale,Yes,96,automated_gis_verified,,price_not_numeric,yes
GA-002,Fulton,Metro Atlanta Land Bank – Residential Vacant Lot (Pittsburgh/Mechanicsville),Needs verification,87,near_ready,"$1,000+",0.10-0.25,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-017,Fulton,MALB – Vacant Lot (Westside Atlanta / English Avenue Area),Needs verification,87,near_ready,"$1,000+",0.10-0.20,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-018,Fulton,MALB – Vacant Lot (Bankhead/West Atlanta),Needs verification,87,near_ready,"$1,000+",0.10-0.25,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-022,Fulton,MALB – Vacant Lot (South Atlanta / Adair Park),Needs verification,87,near_ready,"$1,000+",0.10-0.20,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-024,Fulton,MALB – Vacant Lot (Grant Park / Ormewood Park Adjacent),Needs verification,87,near_ready,"$15,000+",0.10-0.15,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-026,Fulton,MALB – Vacant Lot (Mozley Park / West End),Needs verification,87,near_ready,"$1,000+",0.10-0.20,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-029,Fulton,MALB – Vacant Lot (Oakland City / Browns Mill Area),Needs verification,87,near_ready,"$1,000+",0.10-0.25,Land Bank,Metro Atlanta Land Bank (MALB),https://malb.epropertyplus.com/landmgmtpub/app/propertySearch,Yes,80,automated_gis_verified,,parcel_id_unverified,Yes
GA-042,Clarke,Athens-Clarke County Tax Sale (First Tuesday Auction),162B1 E005,86,near_ready,"$4,500",0.15,Sheriff Sale,Athens-Clarke County Tax Commissioner,https://www.accgov.com/186/Tax-Sales,,,,,"boundary_geojson_missing (placeholder county, no GIS connector); verification_level_listing_not_automated",Yes
GA-041,Sumter,712 Jackson St,2214-04-12,86,near_ready,"$1,200",0.25,Land Bank,Americus-Sumter Land Bank Authority,https://www.sumtercountyga.us,,,,,"boundary_geojson_missing (placeholder county, no GIS connector); verification_level_listing_not_automated",Yes
GA-040,Glynn,802 Lee St,01-02391,86,near_ready,"$4,500",0.14,Land Bank,Brunswick-Glynn County Land Bank,https://www.brunswickga.org,,,,,"boundary_geojson_missing (placeholder county, no GIS connector); verification_level_listing_not_automated",Yes
GA-045,Richmond,GovDeals Surplus Land (City of Augusta Surplus Lot),037-3-042-00-0,86,near_ready,"$5,000",0.16,Municipal Surplus Sale,City of Augusta Real Estate Department,https://www.govdeals.com/index.cfm?fa=Main.Item&itemid=412&acctid=5122,,,,,"boundary_geojson_missing (placeholder county, GIS query failed); verification_level_listing_not_automated",Yes
